condition,family,severity,map_size,query_count,top1_identity_stability,positive_rank_drift_mean,positive_rank_drift_median,positive_rank_absolute_drift_mean,positive_rank_absolute_drift_median,rank_improved_fraction,rank_worsened_fraction,rank_unchanged_fraction,clean_margin_mean,corrupted_margin_mean,margin_drift_mean,descriptive_R@1,descriptive_R@5,descriptive_R@10,descriptive_mAP,accuracy_degradation_claim_allowed
brightness_strong,brightness,2,1600,2331,0.012012012012012012,-0.3946803946803947,-55.0,618.8451308451308,510.0,0.5362505362505362,0.4628914628914629,0.000858000858000858,0.015886598435665603,0.009157659485936165,-0.006728938504644345,0.000429000429000429,0.002145002145002145,0.004719004719004719,0.0036242733534986066,False
brightness_strong,brightness,2,1700,2331,0.011154011154011155,1.2574002574002574,-41.0,624.6713856713857,511.0,0.525096525096525,0.4744744744744745,0.000429000429000429,0.014802112648002227,0.00825533177703619,-0.0065467811030974895,0.0,0.001716001716001716,0.003432003432003432,0.0031805737015491178,False
brightness_strong,brightness,2,1800,2331,0.011583011583011582,12.507078507078507,-52.0,586.2368082368082,452.0,0.534963534963535,0.4641784641784642,0.000858000858000858,0.01774312410398143,0.008777575567364693,-0.008965547714367979,0.000858000858000858,0.001716001716001716,0.003003003003003003,0.0035458306650586057,False
contrast_mild,contrast,1,700,2331,0.33676533676533676,21.117975117975117,7.0,188.11840411840413,102.0,0.4676104676104676,0.5268125268125268,0.005577005577005577,0.01665912632495224,0.01617818884551525,-0.0004809390751908981,0.0,0.004719004719004719,0.00858000858000858,0.005294492412225229,False
contrast_mild,contrast,1,800,2331,0.35735735735735735,-1.2166452166452166,-2.0,195.84727584727585,112.0,0.5066495066495067,0.4873444873444873,0.006006006006006006,0.017085216661370965,0.017135636880993843,5.0418823637860636e-05,0.000429000429000429,0.001716001716001716,0.004719004719004719,0.004411734937762157,False
contrast_mild,contrast,1,900,2331,0.3539253539253539,1.7383097383097383,2.0,190.9129129129129,111.0,0.49206349206349204,0.504933504933505,0.003003003003003003,0.017023764438815255,0.014718856662511826,-0.002304908800718309,0.000429000429000429,0.002145002145002145,0.004719004719004719,0.004173113424757877,False
contrast_mild,contrast,1,1000,2331,0.43071643071643073,16.75203775203775,4.0,188.72029172029173,113.0,0.4774774774774775,0.5169455169455169,0.005577005577005577,0.022273948185180966,0.021822500973939896,-0.00045144716489468835,0.000429000429000429,0.001716001716001716,0.003861003861003861,0.0035914684079585116,False
contrast_mild,contrast,1,1100,2331,0.4161304161304161,10.888459888459888,2.0,188.33504933504935,109.0,0.4847704847704848,0.5105105105105106,0.004719004719004719,0.02192923101564167,0.02146679162979126,-0.0004624389895089287,0.000429000429000429,0.002145002145002145,0.004719004719004719,0.004222022149666425,False
contrast_mild,contrast,1,1200,2331,0.3509223509223509,-1.2436722436722436,5.0,192.57786357786358,115.0,0.4804804804804805,0.5143715143715144,0.005148005148005148,0.015487217266433746,0.014665939845144749,-0.0008212772307094746,0.0,0.001287001287001287,0.001716001716001716,0.002673228550787527,False
contrast_mild,contrast,1,1300,2331,0.3762333762333762,12.196911196911197,9.0,203.71214071214072,127.0,0.47275847275847277,0.5246675246675246,0.002574002574002574,0.01604784127917729,0.015297199599444866,-0.0007506413445202214,0.000429000429000429,0.002145002145002145,0.003432003432003432,0.0035639302621720045,False
contrast_mild,contrast,1,1400,2331,0.36164736164736166,-24.725010725010726,-7.0,200.21450021450022,125.0,0.5276705276705277,0.46374946374946374,0.00858000858000858,0.01314678675115922,0.013914446346461773,0.0007676590099797002,0.000858000858000858,0.003432003432003432,0.006864006864006864,0.004351154583164775,False
contrast_mild,contrast,1,1500,2331,0.3715143715143715,14.438009438009438,3.0,206.48434148434148,136.0,0.4882024882024882,0.504075504075504,0.007722007722007722,0.016905961362449207,0.018963253125548363,0.002057291503399593,0.001287001287001287,0.003003003003003003,0.004719004719004719,0.0042666475474685385,False
contrast_mild,contrast,1,1600,2331,0.3123123123123123,-12.246675246675247,-16.0,208.5203775203775,132.0,0.5504075504075504,0.4465894465894466,0.003003003003003003,0.015886598435665603,0.016212956979870796,0.00032635881349366155,0.000429000429000429,0.000858000858000858,0.003003003003003003,0.003308771402826551,False
contrast_mild,contrast,1,1700,2331,0.3457743457743458,-4.127842127842128,-6.0,222.52080652080653,145.0,0.5143715143715144,0.4821964821964822,0.003432003432003432,0.014802112648002227,0.014813316985964775,1.1204026323075269e-05,0.000858000858000858,0.002574002574002574,0.006006006006006006,0.003912348500946404,False
contrast_mild,contrast,1,1800,2331,0.3981123981123981,12.477477477477477,-2.0,188.3187473187473,113.0,0.5045045045045045,0.4924924924924925,0.003003003003003003,0.01774312410398143,0.0182769987732172,0.0005338738765528062,0.000429000429000429,0.001716001716001716,0.002145002145002145,0.003316142917413575,False
contrast_strong,contrast,2,700,2331,0.11883311883311884,71.06263406263406,27.0,317.53968253968253,208.0,0.4453024453024453,0.5529815529815529,0.001716001716001716,0.01665912632495224,0.015372144989669323,-0.0012869816553126817,0.000429000429000429,0.002574002574002574,0.007293007293007293,0.0045934340260869195,False
contrast_strong,contrast,2,800,2331,0.14972114972114972,52.26812526812527,19.0,331.8202488202488,226.0,0.46374946374946374,0.5332475332475333,0.003003003003003003,0.017085216661370965,0.015624656341969967,-0.001460561248326346,0.000429000429000429,0.00429000429000429,0.006864006864006864,0.004647495744877263,False
